"adress","electricity_costs_usd","borough","area_name","postcode","latitude","longitude","building_name","date"
"512 West 212th St",46200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2008-07-01
"512 West 212th St",45200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2008-08-01
"512 West 212th St",51800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2008-09-01
"512 West 212th St",58400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2008-10-01
"512 West 212th St",56600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2008-11-01
"512 West 212th St",52200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2008-12-01
"512 West 212th St",55200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-01-01
"512 West 212th St",44200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-02-01
"512 West 212th St",48600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-03-01
"512 West 212th St",47400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-04-01
"512 West 212th St",34200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-05-01
"512 West 212th St",30600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-06-01
"512 West 212th St",44800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-07-01
"512 West 212th St",52400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-08-01
